
Value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Start Probs,0.33333333330569764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666943023,0.0,0.0,0.0,0.0,0.0,0.0,0.0

Means,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
commit_messages,0.07546270422252796,7.4830820936348861,61.999999975971143,2.0156985982452005,48.750057491551097,6.5531259751485988,27.734072654735627,4.9228227406572502,8.5327197037723828,19.499999869969542,2.0176060901177704,0.0,15.326038461181911,2.8375315438255626,74.0,20.058594624590324,3.1776709011090611,5.1475191705606669
pull_request_merged,0.0,0.83522817018685702,9.6666666599919822,0.0,4.250006685064081,4.0485745835441422,0.17181594112719301,0.75163991654260853,1.0521284048524915,3.9999999479878174,0.0,0.0,2.2620105890719131,0.85534499237822459,9.0,2.0000000000000004,0.25890552804477002,1.1871890694659162
issue_comment,0.024140773861807265,8.7652498535061039,47.666666651982361,3.1931052130395803,48.250081557781783,5.8856072536418766,1.6882133492780984,5.9850734612828749,8.8091713866119683,63.499999765945176,1.3202099447351698,4.0,17.966186801162088,2.7945302836407535,64.0,11.045372143931777,2.5548645316863006,9.9810981137533723
commit_comments,0.0,0.0,1.1002304877124615e-106,0.0,2.4876724802356018e-158,2.6128950928448863e-296,0.0,0.0,2.2559972570097435,1.000000052012183,0.0,0.0,0.0,0.0,2.0,4.3055795365916687e-318,4.0227357603132212,0.0
issue_title,0.0,1.784722130509107,19.333333322987574,0.88456365141924853,11.250012033115345,1.6570935480250526,1.2706683744676448,0.56382246756324828,2.4221275904404886,6.0000000520121839,0.4158027540910223,0.0,4.100714344026346,1.3402398112710381,18.0,3.9208505946456897,0.29557258621373234,4.6107131491147806
issue_closed,0.0,1.8322531710237806,18.999999989987977,0.0,10.500008022076896,6.7020261596239719,0.28572598709439534,1.9251346378534666,2.2632521607583991,7.9999998439634519,0.13203905486159409,154.0,4.720318048271773,1.4299420933334022,18.0,3.2274410454868301,0.85320929828717529,2.4896600839780265
pull_request_title,0.0,0.99999999999999978,12.999999993992784,0.59505874799575609,7.250001337012816,1.0716714739102997,0.40305933245283604,0.0,1.3714239328268767,3.000000052012183,0.0,0.0,2.4002888137357825,0.73258365172575124,13.0,2.3026554513209767,0.0,2.0802030302556673
pull_request_commit_comment,0.0,9.6644745114763673,84.333333309971948,4.663373958237174,95.500184507768637,0.99544294201598593,4.6771060056334175,6.8173112207543758,6.8908068578448827,77.999998959756354,0.0,0.0,23.204482993833871,0.0,143.0,15.754858811182656,4.1079900850018438,4.3540292391510818
pull_request_commit,0.0,6.5606697808997136,82.999999960953105,2.6611946877788917,71.750148408422604,2.5373800640462054,15.680214968895692,3.7629196436991328,7.6368693903212606,14.499999713932995,0.63955740061014477,0.0,13.745634748861431,1.8780753907860461,130.0,22.822106380674846,1.8477435758374339,4.2964206600292458

Variances,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
commit_messages,0.10864675825105302,31.688952478366378,294.00333361566885,5.7652893098312132,179.1903402798275,9.152153949296018,53.368073400876114,19.546702470328395,40.28924830396496,6.2550000002599875,8.5037190171410924,0.01,61.823314434726541,5.8567219146318807,0.01,196.47536077499319,8.0739442935896477,8.9343093070655293
pull_request_merged,1.7510476913883177e-06,0.53883432868002912,5.5588889278212221,1.7995438783014554e-05,7.690032770139438,2.4442957166119692,0.14286610238758932,0.55469663209734021,1.1011706144901601,1.0050000002600545,9.2060839855278367e-06,0.01,3.5080395018469965,0.30403148057493434,0.01,0.00068783974886563518,0.19224268966530283,0.63532043333295596
issue_comment,0.023559747946851735,46.341049951776121,67.55888903661841,17.542606330255115,138.18949528438128,10.655410609492298,3.7226211284322472,23.730091447582335,51.96726797969319,20.25500000025955,3.8553409908892742,0.01,123.00900950831461,7.2765165582968594,0.01,71.151465789934392,13.174902362479409,55.601822334523902
commit_comments,1.7510476913883177e-06,7.6395808055226738e-05,0.0033333333299959919,1.7995438783014554e-05,0.0025000133701281622,0.00073866705619250554,0.00057087888577444883,6.1673167109308315e-05,1.8888908779582445,1.0050000002600581,9.2060839855278367e-06,0.01,0.00015660475296589178,4.1293433122241867e-05,0.01,0.00068783974886612383,14.782248481775076,0.00021104849236139759
issue_title,1.7510476913883177e-06,0.96210668444677827,14.892222314218216,0.8077006707435227,6.1900060297830164,1.1707702036591401,2.2053279201753755,0.69254499055355945,1.9239643888887046,1.005000000260051,0.46201019575863089,0.01,6.7241421485666537,2.2347118306837959,0.01,1.7816481353808296,0.28236857424976641,21.878289454097633
issue_closed,1.7510476913883177e-06,1.7990919436291681,28.670000071415657,1.7995438783014554e-05,16.25257488602352,3.7422289124435135,0.20468701064119887,2.2482386504440091,3.5577611685322177,9.0050000002600168,0.14512667256888964,0.01,12.312492536555872,0.62182461544375345,0.01,0.40407932188657619,1.456055828556782,2.0043358391165724
pull_request_title,1.7510476913883177e-06,7.6395808055443863e-05,2.6700000333701208,0.41432020211671311,0.19000068187475871,1.2243591895937105,0.24120327821175769,6.1673167109308315e-05,0.76171017988496714,1.0050000002600581,9.2060839855278367e-06,0.01,3.1488557922116973,0.56450844965121516,0.01,0.90643873401414365,0.00036906461257708877,0.54194623733266922
pull_request_commit_comment,1.7510476913883177e-06,104.43826087430031,1234.8922215309433,65.281710834154964,838.25061746528149,1.6357912844688027,34.400897871115063,68.593703749750333,84.780353226213251,400.00500000025897,9.2060839855278367e-06,0.01,517.24940955266675,4.1293433122241867e-05,0.01,271.46634452342624,57.255684054492988,16.09750335923426
pull_request_commit,1.7510476913883177e-06,26.117068366126542,280.6700012418213,8.5059893912109814,390.6879710743965,2.7826660427434762,165.05085006382515,17.368306631895749,27.589176318786397,30.255000000259979,1.3679647295259907,0.01,80.258838828563526,4.3261421722683959,0.01,238.47010212303306,4.5639910499514249,3.1189678255063442

Transition Probabilities
	,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.85660072938381626,0.0031766237615050538,0.0,0.028079468858033835,0.0,0.0006579954609207306,0.00069841126165740952,0.0032466334510680454,0.00035141004627730835,0.0,0.089686844246346487,0.0,0.00039303635073058431,0.013470599147647503,0.0,1.5685857760902806e-126,0.0015842146941906577,0.0020540333378059393
1,0.11835246656989408,0.08092482598966734,0.0076569000405970686,0.36270857712330978,0.0,0.0076439144700482797,0.0054457766392086836,0.15976646352427501,3.9790606300383671e-47,0.0,0.10868019878190013,0.0,0.08335148204257585,0.020703647606745611,0.0,0.0087954043121783194,0.015289618944264385,0.020680723955335514
2,0.0,0.0,0.0,0.0,0.33333333299527329,0.0,0.0,0.0,1.3243176595302008e-154,0.33333329838111941,0.0,0.0,0.33333336862360741,0.0,0.0,0.0,0.0,0.0
3,0.21348189350044242,0.073314349103410226,0.0035950159375455495,0.24606667286470343,0.0017995092947104331,0.011379469698694918,0.0020273187796541973,0.089427017285751489,0.0090245734605519969,0.0,0.18727416381591705,0.0,0.027746175444612758,0.10612750762381654,0.0,5.6651416739302606e-65,0.010812826976309527,0.017923506213879285
4,0.0,2.2952345150750761e-147,0.0,0.0,0.25000133696461357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999732607077291,0.0,0.25000133696461357,0.0,0.0,0.0
