
Value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Start Probs,0.5876927276176189,0.0,0.0,0.4123072723823812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

Means,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
commit_messages,0.16821611812468204,2.7238235807457687,54.000000032180523,2.3551432142679052,9.520734682246573,3.0558497948071714,0.74787000245563118,0.0,3.0878143193862519,11.24464445819296,59.749999999999808,20.349445060240427,3.98825320190904,19.999858184871869,13.886992020108757,41.0
pull_request_merged,0.0,0.0,6.5000000070401924,0.1076648726583706,1.2447356307026503,0.10957664554384007,0.0,0.0,0.37564312345543638,1.1771656705578606,7.2499999999999876,0.40952555796988632,1.1283061106044683,5.3332858927752484,3.7875572894009619,1.0
issue_comment,0.025437408377739116,4.4955684709129304,41.75000001760089,1.4117260329414854,10.820550570582862,1.8772477711716502,1.6548365946242862,4.0,2.1982482186440162,12.992106628504612,58.250000000000043,2.116389049199876,4.8247972586883323,53.999026843705586,16.161619383894653,5.0
commit_comments,0.0,0.0,8.9554461501632594e-136,0.0,3.5386588820261555,0.54355700628535375,0.0,0.0,2.8193400719452075,0.0,0.49999999999999745,0.0,0.0,0.66664307303369563,0.0,0.0
issue_title,0.0,1.0300002218122695,15.250000012571281,0.0,2.4966297667130908,8.227236102659317,1.1979852604580177,0.0,0.19068957061693018,2.8968933282559219,14.999999999999948,0.93650991835056729,1.3580587504429924,5.6666268177315882,3.9821659232358342,0.0
issue_closed,0.0,0.13958215312141498,13.250000008548081,0.29158784658331099,2.7384122862611919,0.10958183737764261,0.15009575998377017,154.0,1.0741717156450374,2.4576796432724395,15.999999999999975,0.57265879261951291,2.118635460210093,11.333179432951404,7.194177325305013,2.0
pull_request_title,0.0,0.44434941765175379,10.250000006536684,0.0,1.3711882257300567,0.65034092837490498,0.36965863791324655,0.0,0.0,1.4049095678605663,9.9999999999999591,0.4009653196295021,0.79570030978109285,3.33325868667727,2.5101210353107053,0.0
pull_request_commit_comment,0.0,6.5876962467492648,63.250000004525894,0.0,7.6089906592705887,1.7400524851604353,0.0,0.0,6.0529634278896642,16.966479445864415,131.2499999999998,6.0944306630396614,2.0420656949542391,56.665826555549977,11.810228621449271,118.0
pull_request_commit,0.0,3.1239346680670339,79.000000070399494,1.0799598511459134,7.7772806903722476,3.1844755141776004,0.76537056920779356,0.0,1.9727734956036049,10.729846518609836,87.499999999999659,12.511201459786189,2.790225515963654,13.999976406972493,10.426790822039981,40.0

Variances,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
commit_messages,0.45470949698813551,9.7305346105636765,400.50250029096986,11.758132083502959,40.63481615789339,1.7925505067238592,1.323103272652135,0.01,7.3418400291826114,65.053677998873994,141.69000000000611,80.89174434695137,7.0632575626192029,4.6704022512098939,54.012563457706989,0.01
pull_request_merged,1.7066206124251808e-06,2.0383847786027962e-05,19.252500014089875,0.1079237504072008,1.0634882014963742,0.098666711947266852,1.8814378098963295e-05,0.01,0.23508190707032328,0.67766685827307971,6.1900000000000039,0.24208089722994541,0.40069285283046335,4.2254688375385152,2.0364387495118645,0.01
issue_comment,0.024792053253375669,26.151558774066363,47.689999941932534,3.6575114539693212,49.305547002671275,6.8151790919244943,4.5884219421605579,0.01,5.5436424251401117,75.53634755189502,61.190000000000595,4.1360543663027753,16.524398482632474,194.02567766906782,109.35020981052008,0.01
commit_comments,1.7066206124251808e-06,2.0383847786027962e-05,0.002500000005028999,1.5211442709736074e-05,15.557209426421803,0.24934543600770295,1.8814378098963295e-05,0.01,8.1612588477375336,7.5493667459241892e-05,0.75249999999999739,0.00026452809421375484,3.5317339265904826e-05,0.89220637444574313,0.00025374913869135685,0.01
issue_title,1.7066206124251808e-06,1.7819189130657116,25.189999972116635,1.5211442709736074e-05,2.248129220510251,85.435835038570403,0.20989129397800427,0.01,0.15468678130561461,4.147813486267613,22.502500000000399,0.96117015723832733,0.94385175116743503,0.89226045801400378,8.9696287252086666,0.01
issue_closed,1.7066206124251808e-06,0.12500370116764534,62.190000088784515,0.33054392622503048,2.9555598103217049,0.098670765996380153,0.1652501019368926,0.01,1.4715459285792651,2.0842515578941954,6.002500000000083,0.31118348447089011,1.7902156794565136,28.225219993997392,4.1337257437721986,0.01
