
Value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Start Probs,0.3333333333133487,0.0,0.0,0.6666666666866513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

Means,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
commit_messages,0.075464197170188388,59.749999999987097,14.686934446739084,2.0261445436505294,6.351505501556856,2.8498107021794215,9.6766775285515152,0.0,2.0763235451290565,59.333325363489955,12.242552965069661,22.024279394090939,5.6765195216407376,30.383008919865009,1.6338842089319352,5.3328081383087476,7.3172726675615367
pull_request_merged,0.0,7.2499999999992308,2.2800874326768188,0.0,1.7160498560019717,0.2223680252749155,1.4261846777656346,0.0,0.0,7.6666649232634203,0.0,3.501103998649608,1.0,1.331415614304162,0.47930126863433947,2.1516586216096343,0.96437423946753253
issue_comment,0.024143361019309712,58.250000000003332,18.362409693660187,1.3579758380363989,11.386730879851475,2.5895412260101351,9.4388270291667293,4.0,4.7224194451586206,44.666662308158564,2.6183454801935619,50.022081977396304,5.6615421828695842,6.351312779273937,1.4694560862029709,5.7605534692802269,10.92240661412932
commit_comments,0.0,0.49999999999982903,0.0,0.0,0.0,3.7701435471703926,1.9787293426006249,0.0,0.0,1.1807334788000196e-138,0.0,0.50110399469802103,0.0,0.0,0.0,0.0,0.0
issue_title,0.0,14.999999999996581,4.2449118782951532,0.41966285596891195,3.1730349166579268,0.47248853167955096,5.2588915101796561,0.0,1.0623912839101479,17.33333022011325,0.71622050265895976,6.5033106993493233,1.2954479024733676,2.5442079467395837,0.97198834426054703,1.0310806840574631,1.362012222796263
issue_closed,0.0,15.999999999998291,4.6989567449828487,0.13189255282178625,3.4296733441408196,0.71731274422274327,2.9961746682623676,154.0,0.19979649961401508,14.666664549677014,0.11476513838210328,7.2571744076918288,1.5656543439704469,2.3825503609548098,0.77244543513697139,4.6875916807646938,2.6240639630366895
pull_request_title,0.0,9.9999999999972644,2.2989193252531259,0.0,1.6259438732471001,0.15236619976558299,1.7037232577460593,0.0,0.50367058529308562,11.33333171445889,0.38406431347207126,4.0022067079060077,0.70698269695636784,1.4284004751125561,0.80906685652154375,0.52404177799808294,0.44738120349382621
pull_request_commit_comment,0.0,131.24999999998863,18.354133316015439,0.0,3.9597379718794308,3.6519543678632425,7.3182861451927899,0.0,4.9524043106217475,63.999998879240863,18.600273844108816,72.747243531179564,4.7004793468698196,24.402549211745882,0.0,0.87621811720744525,19.298969623117618
pull_request_commit,0.0,87.499999999976922,14.05033384841882,0.7073721798150806,4.6783581747014198,2.1163808350347373,7.903742503770653,0.0,2.7583149657312904,90.666649232634271,8.633067286167984,20.773725182059454,4.6641802695918448,28.60672775248797,1.2811462630748607,2.0478148543246477,6.1859138838205103

Variances,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
commit_messages,0.10864857477862311,141.69000000043903,39.766894030813468,8.3004090992958961,9.6003510921181263,6.076633631570223,33.202572333556525,0.01,5.1337793461687795,420.22556858826124,86.048120572433305,100.45660843585426,18.131468330593652,132.89148166819859,2.5032261690194506,9.7156201456456888,11.113281673414317
pull_request_merged,1.7510428630220356e-06,6.1899999999996105,2.98240590887711,9.0887797886397895e-06,0.84283196709257446,0.17327950376071158,2.2231862195204806,0.01,2.1817227941654787e-05,20.225556135441636,0.00013554382217750792,0.75360831716162746,5.659491359743318e-05,0.53489185867809397,0.31094369680944256,3.0009996264912466,0.73543762477772578
issue_comment,0.023562210180864004,61.190000000011359,92.896952188350582,4.1541089986837285,79.291988800707713,13.065714900947995,52.631466220230443,0.01,28.042602498139026,29.558928695332963,6.5297202608963119,198.71945148485062,22.439836191792917,27.211190149179238,2.3464255945810839,8.406469247450632,22.143603967855949
commit_comments,1.7510428630220356e-06,0.75249999999982808,0.00015966400028155021,9.0887797886397895e-06,0.00016801301290517742,13.955398819362735,1.9854236417726068,0.01,2.1817227941654787e-05,0.0033333320880453003,0.00013554382217750792,0.75360829586718381,5.659491359743318e-05,0.00063421662020028712,3.2658021728820449e-05,0.000222224842959132,0.00031395674692097711
issue_title,1.7510428630220356e-06,22.502500000026554,5.4961488173585513,0.47880504174217181,4.6979013651558548,0.4982767843748272,50.832769265405062,0.01,1.8655525729953562,16.225575437399485,0.51020060153347957,2.7535973904583102,1.5547352638860568,1.8648554866271783,0.38268894630685751,1.047299527844574,1.7179217013487345
issue_closed,1.7510428630220356e-06,6.0025000000064743,11.130611350137572,0.14637673623511899,1.6921143920410009,1.3201049833665814,6.7397325624427404,0.01,0.21418567238310474,74.892206239776002,0.10174043792666554,8.1847123635951569,0.57650032044552502,1.2604307067178175,0.72019388031754838,4.591721297627303,3.0177269787470364
pull_request_title,1.7510428630220356e-06,9.0025000000188058,2.193578902722356,9.0887797886397895e-06,0.74281465375118705,0.12947703977264149,4.9925353566552833,0.01,0.52726954748192467,8.2255594977197575,0.23720506715219195,3.5080181349563366,0.65098303582062189,0.78170017409219972,0.26724468100932469,0.70629539056667223,0.25516047474968878
pull_request_commit_comment,1.7510428630220356e-06,70.690000000354175,214.29229387146384,9.0887797886397895e-06,13.543690353769339,52.560498437821508,84.055412523540426,0.01,37.179678032518574,42.003321003740645,324.12242938047007,249.23563562911471,32.289119426336825,895.45372019395143,3.2658021728820449e-05,1.1418680803323398,190.42931474335106
