
Value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Start Probs,0.3333333333054525,0.0,0.0,0.0,0.0,0.6666666666945474,0.0,0.0,0.0,0.0,0.0,0.0,7.4869728581110565e-230,0.0,0.0,0.0,0.0,1.326932880609446e-291,0.0

Means,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
commit_messages,0.07546242558201996,55.0,18.016164849902953,2.4183326419155082,18.071274868512482,2.0115860389908882,0.0,23.027012092809407,59.332981935592251,3.9142941788156853,2.7222900632182054,9.1184964740582704,2.1041082945618093,19.499999732900775,10.259423235585171,74.0,5.0712607650594483,3.0252888307803607,41.0
pull_request_merged,0.0,6.666666666666667,3.6688136365213113,0.23236786052296984,0.33536963517415763,0.0,0.0,0.88681150174468848,7.6665897984108051,0.3522374659039203,0.62220278479766888,1.1148700186856644,0.0,3.9999999685783862,1.1972431837007291,9.0,1.554894891087671,0.87543929536707787,1.0
issue_comment,0.024140406752135884,56.333333333333336,19.26994629246704,3.1324476639481542,1.916383961547935,1.3085819431523118,4.0,6.912745476941951,44.666474496027021,3.3719032025703188,5.5653828799030416,14.989087067897257,3.3138628138847372,63.499999261496804,8.9078101306818755,64.0,8.075806125242714,2.7391727934281871,5.0
commit_comments,0.0,4.2169482615048008e-189,0.0,1.9884081962777471,0.0,0.0,0.0,0.0,8.8164040367717731e-142,4.9587359602128709,0.0,0.0,0.0,0.99999996857395523,2.12194583630906,2.0,0.0,0.0,0.0
issue_title,0.0,14.0,4.7603145353062128,0.92739115571536801,0.6772883055795339,0.40844896218088422,0.0,2.4102909248712279,17.333196068590723,0.17750414271250209,0.64347775620539405,2.779517365875364,0.99718685558914033,5.9999999685650911,5.408993987096224,18.0,2.3480626044133261,1.0936972392494364,0.0
issue_closed,0.0,15.333333333333334,6.9799231744817565,1.2833197234703659,0.57677495602677331,0.13269164728646732,154.0,1.841420487006808,14.666573326641693,0.71675709249009212,1.3678794314116134,2.508797309382262,0.0,7.9999998743091147,2.2611116051545621,18.0,3.500796192681451,1.5045983884211633,2.0
pull_request_title,0.0,9.0,3.1078231623859889,0.34908354987708451,0.3518902850972126,0.0,0.0,1.2377766030129096,11.333261955667178,0.0,0.28258290821754833,1.3481217571297566,0.59544310167233017,2.999999999995568,1.331682516131218,13.0,1.0806935660494845,0.72393183974404929,0.0
