
Value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Start Probs,0.3333333333135334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666864667

Means,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
commit_messages,0.075464451354887802,2.6122748366013862,5.5701932692250899,56.399956847455606,3.1379372294587839,35.747376823973106,12.03701144155027,2.2581871357794352,0.0,2.9044896066724379,5.3336282799662271,16.823445051167614,14.826334260693693,74.0,2.0496038551644054
pull_request_merged,0.0,0.62706334880468284,1.1741073680639402,6.7999910880616818,0.33991733740485469,5.4987805635086469,1.3841919915869381,0.50925553041939386,0.0,0.0,2.5156638711829822,1.2102843041329652,4.2322612910839998,9.0,0.0
issue_comment,0.024143292887379986,2.8173334482506256,8.6142405795665127,47.399966228443184,3.7772521857123831,48.978999754034682,14.174206174175723,2.1797055075459446,4.0,4.2662141945216625,6.2491224128320093,12.483549465740902,19.017781936760102,64.0,1.3621893463324375
commit_comments,0.0,1.6372367878110177,0.0,6.6189188573785705e-138,1.7462568325430621,1.4171908198480336e-96,2.1388625802445316,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
issue_title,0.0,0.019500864948270691,1.9491809914308906,16.39998264517331,5.3416795200431597,7.2479264324095309,2.9984487519474485,1.1474396866547985,0.0,0.75645947047384787,1.1329357940679128,2.8782539431470324,5.4052525393017614,18.0,0.42427850137842171
issue_closed,0.0,1.1388117644287734,2.358051118348341,14.79998639756772,1.1242192549642647,12.246004130133551,2.7031160226830817,0.86438894571570535,154.0,0.13495552031555783,5.6702471079257029,2.3806722126089186,8.4318857141586996,18.0,0.12950256659759207
pull_request_title,0.0,0.0,1.0115978858148962,10.799991088061681,0.46280233269744869,4.748282119759005,1.61720500563248,0.88867954789839054,0.0,0.36964731663431566,0.63693317650144265,1.4097172411068049,3.5304515715075544,13.0,0.0
