,ib-lundgren,lepture,myyang,thedrow
ib-lundgren,304332.0,27328.0,2627.0,86128.0
lepture,27328.0,2316.0,291.0,7657.0
myyang,2627.0,291.0,156.0,711.0
thedrow,86128.0,7657.0,711.0,25458.0
