,asvetlov,kernel0,krkd,popravich
asvetlov,0.0,1.0,1.0,1.0
kernel0,1.0,0.0,1.0,1.0
krkd,1.0,1.0,0.0,1.0
popravich,1.0,1.0,1.0,0.0
