,agramfort,alexandreabraham,gaelvaroquaux,jaquesgrobler,pgervais
agramfort,0.0,0.0,1.0,0.0,0.0
alexandreabraham,0.0,0.0,0.0,1.0,1.0
gaelvaroquaux,1.0,0.0,0.0,1.0,1.0
jaquesgrobler,0.0,1.0,1.0,0.0,1.0
pgervais,0.0,1.0,1.0,1.0,0.0
