,aabadie,alexandreabraham,lesteve,martinperez
aabadie,5880.0,17177.0,15191.0,2106.0
alexandreabraham,17177.0,44620.0,36800.0,4485.0
lesteve,15191.0,36800.0,20980.0,1755.0
martinperez,2106.0,4485.0,1755.0,0.0
