,alexandreabraham,arthurmensch,bthirion,gaelvaroquaux,kamalakerdadi,martinperez
alexandreabraham,1444962.0,125866.0,21445.0,1743037.0,812412.0,212163.0
arthurmensch,125866.0,10978.0,1917.0,161560.0,71855.0,18258.0
bthirion,21445.0,1917.0,306.0,26122.0,12735.0,3432.0
gaelvaroquaux,1743037.0,161560.0,26122.0,1998984.0,969717.0,271279.0
kamalakerdadi,812412.0,71855.0,12735.0,969717.0,478934.0,132698.0
martinperez,212163.0,18258.0,3432.0,271279.0,132698.0,36822.0
