,chrisfilo,dohmatob,eickenberg,gaelvaroquaux,schwarty,virgilefritsch,ys218403@is220245.(none)
chrisfilo,20742.0,14352.0,20697.0,187266.0,875.0,25413.0,2547.0
dohmatob,14352.0,19562.0,13932.0,113782.0,1191.0,44161.0,3427.0
eickenberg,20697.0,13932.0,26616.0,165388.0,1062.0,23218.0,3066.0
gaelvaroquaux,187266.0,113782.0,165388.0,1430172.0,7214.0,223284.0,20746.0
schwarty,875.0,1191.0,1062.0,7214.0,32.0,2815.0,64.0
virgilefritsch,25413.0,44161.0,23218.0,223284.0,2815.0,92612.0,7999.0
ys218403@is220245.(none),2547.0,3427.0,3066.0,20746.0,64.0,7999.0,96.0
