,ceridwen,dbaum,mbdevpl,pcmanticore
ceridwen,15848.0,506.0,106.0,42770.0
dbaum,506.0,12.0,6.0,1352.0
mbdevpl,106.0,6.0,0.0,295.0
pcmanticore,42770.0,1352.0,295.0,115340.0
