,alexandreabraham,banilo,gaelvaroquaux,kamalakerdadi,lesteve,mrahim
alexandreabraham,5841036.0,1005517.0,3078311.0,1115417.0,3197596.0,201153.0
banilo,1005517.0,177420.0,565138.0,217403.0,592916.0,38466.0
gaelvaroquaux,3078311.0,565138.0,1780748.0,717312.0,1898271.0,120035.0
kamalakerdadi,1115417.0,217403.0,717312.0,294736.0,745195.0,52705.0
lesteve,3197596.0,592916.0,1898271.0,745195.0,1975206.0,134381.0
mrahim,201153.0,38466.0,120035.0,52705.0,134381.0,7844.0
