,aabadie,alexandreabraham,lesteve,salma1601,titan-c
aabadie,1224.0,5976.0,6470.0,0.0,495.0
alexandreabraham,5976.0,29888.0,31876.0,0.0,2806.0
lesteve,6470.0,31876.0,33910.0,0.0,3581.0
salma1601,0.0,0.0,0.0,0.0,0.0
titan-c,495.0,2806.0,3581.0,0.0,3542.0
