,alexandreabraham,banilo,dohmatob,eickenberg,gaelvaroquaux,lesteve
alexandreabraham,9988680.0,2508449.0,3409178.0,765991.0,9700891.0,8049665.0
banilo,2508449.0,690300.0,763960.0,204086.0,2600814.0,2229132.0
dohmatob,3409178.0,763960.0,16730032.0,242373.0,4664517.0,3035297.0
eickenberg,765991.0,204086.0,242373.0,69644.0,823226.0,675903.0
gaelvaroquaux,9700891.0,2600814.0,4664517.0,823226.0,10354518.0,8537981.0
lesteve,8049665.0,2229132.0,3035297.0,675903.0,8537981.0,7690374.0
