,aabadie,ahoyosid,alexsavio,franz.liem,gaelvaroquaux,kamalakerdadi
aabadie,19582.0,3963.0,236.0,0.0,75389.0,26476.0
ahoyosid,3963.0,666.0,48.0,0.0,12995.0,4013.0
alexsavio,236.0,48.0,0.0,0.0,820.0,205.0
franz.liem,0.0,0.0,0.0,0.0,0.0,0.0
gaelvaroquaux,75389.0,12995.0,820.0,0.0,242606.0,82030.0
kamalakerdadi,26476.0,4013.0,205.0,0.0,82030.0,27628.0
