,alexandreabraham,banilo,dohmatob,gaelvaroquaux,lesteve,mekman,titan-c
alexandreabraham,4522848.0,1124215.0,2555617.0,4551373.0,3869667.0,6361.0,334259.0
banilo,1124215.0,326092.0,541809.0,1326199.0,1132691.0,1778.0,67570.0
dohmatob,2555617.0,541809.0,22528582.0,4113176.0,2484706.0,3328.0,108610.0
gaelvaroquaux,4551373.0,1326199.0,4113176.0,5550038.0,4669720.0,7299.0,240868.0
lesteve,3869667.0,1132691.0,2484706.0,4669720.0,4134940.0,5570.0,213009.0
mekman,6361.0,1778.0,3328.0,7299.0,5570.0,0.0,334.0
titan-c,334259.0,67570.0,108610.0,240868.0,213009.0,334.0,19094.0
