,alexandreabraham,kamalakerdadi,lesteve,martinperez
alexandreabraham,28914.0,13390.0,36287.0,6905.0
kamalakerdadi,13390.0,6108.0,13835.0,3189.0
lesteve,36287.0,13835.0,42100.0,7814.0
martinperez,6905.0,3189.0,7814.0,1432.0
