,ahoyosid,akshayah3,johngriffiths,kamalakerdadi
ahoyosid,1636.0,0.0,34.0,6246.0
akshayah3,0.0,0.0,0.0,0.0
johngriffiths,34.0,0.0,0.0,122.0
kamalakerdadi,6246.0,0.0,122.0,23132.0
