,ahoyosid,alexsavio,gaelvaroquaux,htygithub,xgrg
ahoyosid,64844.0,9823.0,148152.0,914.0,294.0
alexsavio,9823.0,1724.0,24144.0,134.0,33.0
gaelvaroquaux,148152.0,24144.0,313378.0,1468.0,718.0
htygithub,914.0,134.0,1468.0,0.0,5.0
xgrg,294.0,33.0,718.0,5.0,0.0
