,calebbrown,dgouldin,ib-lundgren,idan
calebbrown,4398.0,5824.0,30705.0,14613.0
dgouldin,5824.0,7788.0,42623.0,19922.0
ib-lundgren,30705.0,42623.0,227950.0,103399.0
idan,14613.0,19922.0,103399.0,48240.0
