,alexandreabraham,banilo,gaelvaroquaux,kamalakerdadi,titan-c
alexandreabraham,27410.0,1565.0,23223.0,1701.0,5464.0
banilo,1565.0,0.0,590.0,60.0,95.0
gaelvaroquaux,23223.0,590.0,11896.0,1018.0,6580.0
kamalakerdadi,1701.0,60.0,1018.0,84.0,317.0
titan-c,5464.0,95.0,6580.0,317.0,8324.0
