,aabadie,alexandreabraham,dohmatob,gaelvaroquaux,lesteve
aabadie,4936.0,24127.0,427.0,22814.0,11013.0
alexandreabraham,24127.0,100124.0,1249.0,98887.0,44856.0
dohmatob,427.0,1249.0,2.0,1172.0,549.0
gaelvaroquaux,22814.0,98887.0,1172.0,102874.0,43629.0
lesteve,11013.0,44856.0,549.0,43629.0,20124.0
