,flippmoke,ib-lundgren,kroisse,stephane
flippmoke,12.0,85.0,1.0,0.0
ib-lundgren,85.0,418.0,11.0,0.0
kroisse,1.0,11.0,0.0,0.0
stephane,0.0,0.0,0.0,0.0
