,alexandreabraham,banilo,dohmatob,gaelvaroquaux,lesteve
alexandreabraham,1973088.0,593609.0,1896955.0,2498472.0,1836111.0
banilo,593609.0,177068.0,404282.0,736020.0,552806.0
dohmatob,1896955.0,404282.0,19708938.0,3219091.0,1771827.0
gaelvaroquaux,2498472.0,736020.0,3219091.0,3130858.0,2319126.0
lesteve,1836111.0,552806.0,1771827.0,2319126.0,1780910.0
