,alexandreabraham,eickenberg,gaelvaroquaux,virgilefritsch
alexandreabraham,2072788.0,205907.0,1459584.0,411396.0
eickenberg,205907.0,41024.0,249249.0,31410.0
gaelvaroquaux,1459584.0,249249.0,1571258.0,251463.0
virgilefritsch,411396.0,31410.0,251463.0,168596.0
