,bthirion,cbedetti,emdupre,gaelvaroquaux,jeromedockes,kamalakerdadi,poquirion,salma1601
bthirion,868.0,182.0,905.0,99578.0,28746.0,42954.0,251.0,3407.0
cbedetti,182.0,8.0,285.0,19524.0,5998.0,9460.0,57.0,692.0
emdupre,905.0,285.0,12762.0,145404.0,54908.0,75758.0,346.0,4643.0
gaelvaroquaux,99578.0,19524.0,145404.0,11589640.0,3466359.0,5164309.0,30132.0,423715.0
jeromedockes,28746.0,5998.0,54908.0,3466359.0,1132260.0,1630095.0,9599.0,138528.0
kamalakerdadi,42954.0,9460.0,75758.0,5164309.0,1630095.0,2506102.0,13128.0,213079.0
poquirion,251.0,57.0,346.0,30132.0,9599.0,13128.0,124.0,1010.0
salma1601,3407.0,692.0,4643.0,423715.0,138528.0,213079.0,1010.0,20204.0
