,banilo,dohmatob,gaelvaroquaux,lesteve
banilo,101892.0,278583.0,466374.0,430693.0
dohmatob,278583.0,12133528.0,2535558.0,1445490.0
gaelvaroquaux,466374.0,2535558.0,2333150.0,2046289.0
lesteve,430693.0,1445490.0,2046289.0,1805510.0
