,dgouldin,ghickman,ib-lundgren,idan,kennethreitz,pydanny
dgouldin,0.0,1.0,9.0,0.0,1.0,1.0
ghickman,1.0,0.0,0.0,0.0,1.0,0.0
ib-lundgren,9.0,0.0,0.0,0.0,1.0,1.0
idan,0.0,0.0,0.0,1.0,0.0,0.0
kennethreitz,1.0,1.0,1.0,0.0,0.0,0.0
pydanny,1.0,0.0,1.0,0.0,0.0,0.0
