,alexandreabraham,arthurmensch,dohmatob,kamalakerdadi
alexandreabraham,21006.0,7053.0,8972.0,12387.0
arthurmensch,7053.0,2148.0,2689.0,4621.0
dohmatob,8972.0,2689.0,2612.0,5918.0
kamalakerdadi,12387.0,4621.0,5918.0,6468.0
