,aabadie,ahoyosid,alexandreabraham,gaelvaroquaux,kamalakerdadi,lesteve
aabadie,173842.0,143797.0,1296907.0,1356036.0,481448.0,864292.0
ahoyosid,143797.0,142364.0,1137471.0,1215957.0,477327.0,781396.0
alexandreabraham,1296907.0,1137471.0,10520736.0,10994818.0,3869832.0,7100063.0
gaelvaroquaux,1356036.0,1215957.0,10994818.0,11520348.0,4174529.0,7588487.0
kamalakerdadi,481448.0,477327.0,3869832.0,4174529.0,1645892.0,2789703.0
lesteve,864292.0,781396.0,7100063.0,7588487.0,2789703.0,5295996.0
