,alpinho,gaelvaroquaux,kamalakerdadi,sfvndtu,yarikoptic
alpinho,520.0,22186.0,10108.0,48.0,26.0
gaelvaroquaux,22186.0,1292888.0,629637.0,6018.0,1132.0
kamalakerdadi,10108.0,629637.0,314798.0,3906.0,516.0
sfvndtu,48.0,6018.0,3906.0,0.0,3.0
yarikoptic,26.0,1132.0,516.0,3.0,0.0
