,alexandreabraham,gaelvaroquaux,joaoloula,kamalakerdadi
alexandreabraham,1049194.0,895817.0,31758.0,457238.0
gaelvaroquaux,895817.0,729184.0,28957.0,389655.0
joaoloula,31758.0,28957.0,492.0,14648.0
kamalakerdadi,457238.0,389655.0,14648.0,208540.0
