,alexandreabraham,bthirion,dohmatob,gaelvaroquaux,pgervais
alexandreabraham,5146406.0,107323.0,367373.0,3593560.0,1033665.0
bthirion,107323.0,2522.0,7160.0,82286.0,33939.0
dohmatob,367373.0,7160.0,28708.0,212381.0,30999.0
gaelvaroquaux,3593560.0,82286.0,212381.0,2957186.0,1079489.0
pgervais,1033665.0,33939.0,30999.0,1079489.0,1334796.0
