,alexandreabraham,dohmatob,gaelvaroquaux,lesteve
alexandreabraham,4403158.0,2370095.0,3532014.0,2408274.0
dohmatob,2370095.0,18593446.0,3277925.0,1673106.0
gaelvaroquaux,3532014.0,3277925.0,3353902.0,2175691.0
lesteve,2408274.0,1673106.0,2175691.0,1417920.0
