,agramfort,alexandreabraham,gaelvaroquaux,jaquesgrobler,pgervais
agramfort,14.0,4092.0,5350.0,517.0,1228.0
alexandreabraham,4092.0,1048274.0,1209128.0,86266.0,270282.0
gaelvaroquaux,5350.0,1209128.0,1251488.0,85269.0,247902.0
jaquesgrobler,517.0,86266.0,85269.0,6542.0,18664.0
pgervais,1228.0,270282.0,247902.0,18664.0,85900.0
