,alexandreabraham,eickenberg,fabianp,jaquesgrobler,pgervais
alexandreabraham,0.0,0.0,0.0,0.0,1.0
eickenberg,0.0,1.0,0.0,0.0,0.0
fabianp,0.0,0.0,1.0,0.0,0.0
jaquesgrobler,0.0,0.0,0.0,1.0,0.0
pgervais,1.0,0.0,0.0,0.0,0.0
