,alexandreabraham,arthurmensch,lesteve,martinperez
alexandreabraham,3349228.0,136505.0,2005692.0,276703.0
arthurmensch,136505.0,5218.0,85209.0,10942.0
lesteve,2005692.0,85209.0,1425862.0,170065.0
martinperez,276703.0,10942.0,170065.0,28828.0
