,alexandreabraham,eickenberg,gaelvaroquaux,virgilefritsch
alexandreabraham,112648.0,61540.0,267946.0,17768.0
eickenberg,61540.0,36048.0,149984.0,7902.0
gaelvaroquaux,267946.0,149984.0,641878.0,42256.0
virgilefritsch,17768.0,7902.0,42256.0,82548.0
