,ahoyosid,alexandreabraham,bthirion,dillonplunkett,gaelvaroquaux,jeromedockes,kamalakerdadi,salma1601,titan-c
ahoyosid,44688.0,288069.0,3734.0,1104.0,332750.0,127082.0,194812.0,18207.0,10754.0
alexandreabraham,288069.0,2243978.0,34255.0,12269.0,2318948.0,801467.0,1175667.0,112682.0,67291.0
bthirion,3734.0,34255.0,518.0,229.0,32022.0,10182.0,13984.0,1245.0,1060.0
dillonplunkett,1104.0,12269.0,229.0,48.0,12755.0,3883.0,5558.0,491.0,422.0
gaelvaroquaux,332750.0,2318948.0,32022.0,12755.0,2448580.0,878052.0,1275327.0,113693.0,81948.0
jeromedockes,127082.0,801467.0,10182.0,3883.0,878052.0,349918.0,506825.0,49479.0,28804.0
kamalakerdadi,194812.0,1175667.0,13984.0,5558.0,1275327.0,506825.0,762090.0,69979.0,35423.0
salma1601,18207.0,112682.0,1245.0,491.0,113693.0,49479.0,69979.0,8936.0,3574.0
titan-c,10754.0,67291.0,1060.0,422.0,81948.0,28804.0,35423.0,3574.0,7184.0
