,aabadie,gaelvaroquaux,martinperez,naereen
aabadie,5692.0,39979.0,6448.0,124.0
gaelvaroquaux,39979.0,993724.0,208403.0,2000.0
martinperez,6448.0,208403.0,37390.0,419.0
naereen,124.0,2000.0,419.0,0.0
