,gaelvaroquaux,juhuntenburg,kamalakerdadi,souravsingh
gaelvaroquaux,98186.0,60770.0,130678.0,0.0
juhuntenburg,60770.0,66028.0,72322.0,0.0
kamalakerdadi,130678.0,72322.0,198994.0,0.0
souravsingh,0.0,0.0,0.0,0.0
