,alexandreabraham,gaelvaroquaux,lesteve,titan-c
alexandreabraham,3778724.0,3112471.0,2844471.0,286245.0
gaelvaroquaux,3112471.0,2925730.0,2728962.0,154840.0
lesteve,2844471.0,2728962.0,2677002.0,150507.0
titan-c,286245.0,154840.0,150507.0,16222.0
