,dgouldin,ghickman,ib-lundgren,idan,kennethreitz,pydanny
dgouldin,0.0,1.0,1.0,1.0,1.0,1.0
ghickman,1.0,0.0,1.0,1.0,1.0,1.0
ib-lundgren,1.0,1.0,0.0,1.0,1.0,1.0
idan,1.0,1.0,1.0,0.0,1.0,0.0
kennethreitz,1.0,1.0,1.0,1.0,0.0,1.0
pydanny,1.0,1.0,1.0,0.0,1.0,0.0
