,dahlia,dasevilla,ib-lundgren,lepture,stephane,synasius
dahlia,0.0,1.0,3,1.0,0.0,0.0
dasevilla,1.0,0.0,3,0.0,0.0,0.0
ib-lundgren,3.0,3.0,4,10.0,1.0,3.0
lepture,1.0,0.0,10,0.0,0.0,0.0
stephane,0.0,0.0,1,0.0,1.0,0.0
synasius,0.0,0.0,3,0.0,0.0,0.0
