,alexandreabraham,eickenberg,gaelvaroquaux,virgilefritsch
alexandreabraham,0.0,3.0,4,1.0
eickenberg,3.0,1.0,4,1.0
gaelvaroquaux,4.0,4.0,1,2.0
virgilefritsch,1.0,1.0,2,0.0
