,alexandreabraham,eickenberg,virgilefritsch,ys218403@is220245.(none)
alexandreabraham,35254.0,5872.0,11531.0,872.0
eickenberg,5872.0,496.0,1661.0,248.0
virgilefritsch,11531.0,1661.0,83732.0,173.0
ys218403@is220245.(none),872.0,248.0,173.0,0.0
