Unnamed: 0,project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit,State
340,aio-libs~aioredis,20150430,1,0,2,0,1,0,1,0,1,10
341,aio-libs~aioredis,20150501,1,1,1,0,0,1,0,0,0,11
354,aio-libs~aioredis,20150514,2,0,2,0,1,0,1,0,2,10
360,aio-libs~aioredis,20150520,1,0,1,0,0,0,0,0,1,10
362,aio-libs~aioredis,20150522,1,0,2,0,0,0,0,0,1,10
363,aio-libs~aioredis,20150523,0,0,0,0,0,1,0,0,0,11
364,aio-libs~aioredis,20150524,1,0,0,0,0,0,0,0,1,10
365,aio-libs~aioredis,20150525,1,0,2,0,0,0,0,0,1,10
373,aio-libs~aioredis,20150602,4,0,4,0,0,0,0,0,4,10
374,aio-libs~aioredis,20150603,7,1,2,0,1,2,0,0,1,11
387,aio-libs~aioredis,20150616,4,1,0,0,1,2,1,0,1,11
404,aio-libs~aioredis,20150703,1,0,1,0,0,1,0,0,0,11
407,aio-libs~aioredis,20150706,3,1,1,0,2,1,1,0,0,11
408,aio-libs~aioredis,20150707,12,1,1,0,1,2,1,0,6,11
421,aio-libs~aioredis,20150720,2,0,0,0,0,0,0,0,2,10
423,aio-libs~aioredis,20150722,1,0,0,0,0,0,0,0,1,10
429,aio-libs~aioredis,20150728,6,2,4,0,5,4,4,0,6,4
430,aio-libs~aioredis,20150729,0,0,3,0,0,1,0,0,1,11
435,aio-libs~aioredis,20150803,3,1,1,0,2,1,2,0,1,11
436,aio-libs~aioredis,20150804,2,1,2,0,0,2,0,0,0,11
449,aio-libs~aioredis,20150817,0,0,0,0,0,1,0,0,0,11
456,aio-libs~aioredis,20150824,2,0,0,0,0,0,0,0,8,10
457,aio-libs~aioredis,20150825,3,0,2,0,1,1,1,0,12,11
458,aio-libs~aioredis,20150826,1,0,0,0,1,1,1,0,4,11
475,aio-libs~aioredis,20150912,2,1,1,0,1,1,1,0,1,11
476,aio-libs~aioredis,20150913,1,0,0,0,0,0,0,0,2,10
483,aio-libs~aioredis,20150920,1,0,2,0,1,1,1,0,2,11
498,aio-libs~aioredis,20151005,4,1,0,0,2,1,1,0,1,11
502,aio-libs~aioredis,20151009,5,2,2,0,2,3,2,0,3,11
503,aio-libs~aioredis,20151010,1,0,1,0,1,0,1,0,1,10
505,aio-libs~aioredis,20151012,1,1,4,0,1,1,0,0,0,11
506,aio-libs~aioredis,20151013,3,0,3,0,0,0,0,0,0,10
508,aio-libs~aioredis,20151015,0,0,0,0,0,1,0,0,0,11
512,aio-libs~aioredis,20151019,1,0,0,0,1,0,1,0,1,10
513,aio-libs~aioredis,20151020,3,1,5,0,0,1,0,0,1,11
514,aio-libs~aioredis,20151021,4,0,2,0,1,0,1,0,4,10
515,aio-libs~aioredis,20151022,2,1,0,0,0,1,0,0,1,11
521,aio-libs~aioredis,20151028,0,0,2,0,1,0,0,0,0,10
528,aio-libs~aioredis,20151104,0,0,7,0,2,0,0,0,0,10
529,aio-libs~aioredis,20151105,0,0,1,0,0,1,0,0,0,11
533,aio-libs~aioredis,20151109,1,0,0,0,0,0,0,0,1,10
537,aio-libs~aioredis,20151113,5,1,0,0,1,2,1,0,3,11
540,aio-libs~aioredis,20151116,2,0,1,0,0,1,0,0,0,11
542,aio-libs~aioredis,20151118,3,0,1,0,0,1,0,0,0,11
550,aio-libs~aioredis,20151126,2,0,4,0,0,1,0,0,0,11
557,aio-libs~aioredis,20151203,0,0,3,0,0,0,0,0,0,10
559,aio-libs~aioredis,20151205,0,0,1,0,0,1,0,0,0,11
560,aio-libs~aioredis,20151206,0,0,1,0,1,1,0,0,0,11
568,aio-libs~aioredis,20151214,1,0,0,0,0,1,0,0,0,11
578,aio-libs~aioredis,20151224,0,0,4,0,0,0,0,0,0,10
608,aio-libs~aioredis,20160123,0,0,3,0,1,1,0,0,0,11
609,aio-libs~aioredis,20160124,3,1,1,0,1,1,1,0,1,11
610,aio-libs~aioredis,20160125,0,0,0,0,0,1,0,0,0,11
618,aio-libs~aioredis,20160202,2,1,1,0,1,1,1,0,1,11
625,aio-libs~aioredis,20160209,4,0,0,0,1,0,1,0,8,10
626,aio-libs~aioredis,20160210,2,0,3,0,0,0,0,6,3,10
640,aio-libs~aioredis,20160224,0,0,0,0,0,0,0,0,1,10
644,aio-libs~aioredis,20160228,2,0,2,0,2,0,1,0,2,10
645,aio-libs~aioredis,20160229,4,0,0,0,0,0,0,0,4,10
646,aio-libs~aioredis,20160301,2,1,4,0,0,1,0,0,1,11
649,aio-libs~aioredis,20160304,4,1,3,0,2,1,1,0,3,11
652,aio-libs~aioredis,20160307,0,0,2,0,0,0,0,0,1,10
653,aio-libs~aioredis,20160308,0,0,0,0,0,0,0,0,2,10
654,aio-libs~aioredis,20160309,0,0,4,0,1,0,0,0,0,10
655,aio-libs~aioredis,20160310,6,2,7,0,3,4,2,0,7,4
659,aio-libs~aioredis,20160314,0,0,1,0,0,0,0,0,4,10
660,aio-libs~aioredis,20160315,0,0,0,0,0,0,0,0,2,10
663,aio-libs~aioredis,20160318,0,0,0,0,0,0,0,0,2,10
666,aio-libs~aioredis,20160321,0,0,0,0,0,0,0,0,2,10
668,aio-libs~aioredis,20160323,0,0,0,0,0,0,0,0,2,10
669,aio-libs~aioredis,20160324,2,0,5,0,1,0,1,0,3,10
670,aio-libs~aioredis,20160325,1,0,0,0,0,0,0,1,0,10
673,aio-libs~aioredis,20160328,8,2,4,0,1,2,1,0,2,11
674,aio-libs~aioredis,20160329,0,0,1,0,0,1,0,0,0,11
680,aio-libs~aioredis,20160404,0,0,0,0,0,0,0,0,8,10
681,aio-libs~aioredis,20160405,4,1,6,0,2,2,2,0,8,11
682,aio-libs~aioredis,20160406,0,0,4,0,1,0,0,0,4,10
688,aio-libs~aioredis,20160412,0,0,1,0,0,0,0,0,1,10
689,aio-libs~aioredis,20160413,0,0,6,0,0,0,0,0,7,10
690,aio-libs~aioredis,20160414,0,0,5,0,0,0,0,0,4,10
708,aio-libs~aioredis,20160502,0,0,1,0,0,0,0,0,1,10
709,aio-libs~aioredis,20160503,0,0,4,0,1,1,0,0,1,11
719,aio-libs~aioredis,20160513,0,0,3,0,3,1,1,0,1,11
724,aio-libs~aioredis,20160518,1,0,0,0,0,0,0,0,1,10
730,aio-libs~aioredis,20160524,1,0,0,0,0,0,0,0,1,10
731,aio-libs~aioredis,20160525,0,0,7,0,1,0,1,0,5,10
732,aio-libs~aioredis,20160526,3,1,4,0,0,1,0,4,2,5
736,aio-libs~aioredis,20160530,1,0,1,0,1,0,0,9,0,10
739,aio-libs~aioredis,20160602,1,0,1,0,0,2,0,0,1,11
740,aio-libs~aioredis,20160603,10,1,1,0,1,1,1,0,6,11
743,aio-libs~aioredis,20160606,8,0,0,0,1,0,1,0,3,10
744,aio-libs~aioredis,20160607,0,0,0,0,0,0,0,2,0,10
746,aio-libs~aioredis,20160609,1,0,0,0,0,0,0,0,1,10
749,aio-libs~aioredis,20160612,1,0,0,0,0,0,0,0,1,10
754,aio-libs~aioredis,20160617,2,0,0,0,0,0,0,0,2,10
755,aio-libs~aioredis,20160618,0,0,2,0,1,0,1,0,3,10
756,aio-libs~aioredis,20160619,0,0,1,0,0,0,0,0,1,10
758,aio-libs~aioredis,20160621,1,0,9,0,0,0,0,0,6,10
759,aio-libs~aioredis,20160622,3,0,12,0,0,0,0,5,9,10
760,aio-libs~aioredis,20160623,3,1,9,0,0,1,0,0,0,11
761,aio-libs~aioredis,20160624,1,0,3,0,0,1,0,0,0,11
771,aio-libs~aioredis,20160704,0,0,4,0,1,0,1,0,1,10
772,aio-libs~aioredis,20160705,4,1,2,0,1,2,1,0,3,11
782,aio-libs~aioredis,20160715,1,0,0,0,0,0,0,0,1,10
789,aio-libs~aioredis,20160722,3,0,2,0,0,1,0,0,0,11
796,aio-libs~aioredis,20160729,3,0,0,0,0,0,0,0,3,10
797,aio-libs~aioredis,20160730,1,0,0,0,1,0,0,0,1,10
799,aio-libs~aioredis,20160801,1,0,2,0,0,0,0,0,1,10
812,aio-libs~aioredis,20160814,1,0,0,0,1,0,1,0,1,10
817,aio-libs~aioredis,20160819,3,0,7,0,0,0,0,1,3,10
820,aio-libs~aioredis,20160822,5,1,3,0,0,2,0,0,0,11
835,aio-libs~aioredis,20160906,2,1,2,0,1,1,1,0,1,11
853,aio-libs~aioredis,20160924,1,0,1,0,1,0,1,0,1,10
854,aio-libs~aioredis,20160925,1,1,2,0,1,1,1,0,3,11
856,aio-libs~aioredis,20160927,10,6,15,0,11,11,10,4,11,2
858,aio-libs~aioredis,20160929,0,0,0,0,1,0,1,0,1,10
859,aio-libs~aioredis,20160930,1,1,5,0,1,2,0,0,0,11
864,aio-libs~aioredis,20161005,0,0,3,0,0,2,0,0,0,11
869,aio-libs~aioredis,20161010,0,0,1,0,1,0,1,0,1,10
872,aio-libs~aioredis,20161013,1,1,0,0,0,1,0,0,0,11
877,aio-libs~aioredis,20161018,3,1,2,0,2,2,1,0,2,11
880,aio-libs~aioredis,20161021,0,0,1,0,1,1,0,0,0,11
883,aio-libs~aioredis,20161024,4,0,1,0,0,1,0,0,0,11
892,aio-libs~aioredis,20161102,1,0,0,0,0,0,0,0,1,10
893,aio-libs~aioredis,20161103,0,0,6,0,2,0,0,0,0,10
894,aio-libs~aioredis,20161104,0,0,7,0,0,0,0,0,0,10
895,aio-libs~aioredis,20161105,0,0,2,0,1,0,0,0,0,10
896,aio-libs~aioredis,20161106,0,0,4,0,0,0,0,0,0,10
897,aio-libs~aioredis,20161107,2,0,3,0,0,1,0,0,0,11
901,aio-libs~aioredis,20161111,0,0,0,0,1,0,1,0,1,10
902,aio-libs~aioredis,20161112,1,1,1,0,1,2,1,0,1,11
904,aio-libs~aioredis,20161114,1,0,4,0,4,2,3,0,4,11
905,aio-libs~aioredis,20161115,1,1,1,0,0,1,0,0,0,11
906,aio-libs~aioredis,20161116,1,0,0,0,0,0,0,0,1,10
911,aio-libs~aioredis,20161121,1,0,1,0,2,0,2,0,2,10
912,aio-libs~aioredis,20161122,1,1,0,0,0,1,0,0,0,11
913,aio-libs~aioredis,20161123,1,0,1,0,1,0,1,0,1,10
916,aio-libs~aioredis,20161126,1,1,0,0,0,1,0,0,0,11
918,aio-libs~aioredis,20161128,4,0,0,0,0,0,0,0,1,10
920,aio-libs~aioredis,20161130,1,1,3,0,1,3,0,0,0,11
921,aio-libs~aioredis,20161201,0,0,0,0,1,0,1,0,1,10
922,aio-libs~aioredis,20161202,4,1,5,0,1,2,1,0,3,11
924,aio-libs~aioredis,20161204,1,1,1,0,1,1,1,0,1,11
925,aio-libs~aioredis,20161205,1,1,0,0,1,1,1,0,1,11
936,aio-libs~aioredis,20161216,3,0,0,0,0,0,0,0,3,10
943,aio-libs~aioredis,20161223,1,0,0,0,0,0,0,0,1,10
