"file_name","degree","modularity_class","modularity_measure"
"astroid/tests/testdata/python3/data/package/__init__.py","148","2","0.42880250989482227"
"test/data/find_test/module2.py","198","1","0.42880250989482227"
"astroid/brain/brain_dateutil.py","77","0","0.42880250989482227"
"test/runtests.py","40","4","0.42880250989482227"
"astroid/tests/testdata/python3/data/find_test/__init__.py","148","2","0.42880250989482227"
"astroid/tests/testdata/python3/data/path_pkg_resources_3/package/baz.py","24","3","0.42880250989482227"
"astroid/tests/testdata/python3/data/descriptor_crash.py","148","2","0.42880250989482227"
"test/data/ssl1/connection1.py","209","4","0.42880250989482227"
"test/regrtest_data/package/absimport.py","207","4","0.42880250989482227"
"astroid/tests/data_py3/notall.py","275","2","0.42880250989482227"
"astroid/nodes.py","242","0","0.42880250989482227"
"astroid/tests/testdata/python2/data/__init__.py","148","2","0.42880250989482227"
"astroid/brain/py2qt4.py","199","1","0.42880250989482227"
"brain/py2gi.py","198","1","0.42880250989482227"
"astroid/interpreter/_import/__init__.py","2","5","0.42880250989482227"
"as_string.py","207","4","0.42880250989482227"
"test/data/find_test/module.py","198","1","0.42880250989482227"
"astroid/tests/testdata/python2/data/lmfp/__init__.py","148","2","0.42880250989482227"
"astroid/tests/testdata/python2/data/suppliermodule_test.py","149","2","0.42880250989482227"
"astroid/tests/testdata/python3/data/path_pkg_resources_2/package/bar.py","24","3","0.42880250989482227"
"astroid/tests/data/ssl1/connection1.py","275","2","0.42880250989482227"
"astroid/decorators.py","74","0","0.42880250989482227"
"astroid/brain/brain_io.py","1","0","0.42880250989482227"
"astroid/tests/data2/suppliermodule_test.py","275","2","0.42880250989482227"
"test/data_py3/lmfp/__init__.py","198","1","0.42880250989482227"
"test/data_py3/find_test/noendingnewline.py","198","1","0.42880250989482227"
"astroid/tests/testdata/python2/data/path_pkgutil_1/package/__init__.py","24","3","0.42880250989482227"
"utils.py","214","4","0.42880250989482227"
"astroid/builder.py","251","0","0.42880250989482227"
"astroid/brain/_gi.py","30","0","0.42880250989482227"
"astroid/tests/regrtest_data/unicode_package/core/__init__.py","275","2","0.42880250989482227"
"test/data_py3/find_test/module2.py","198","1","0.42880250989482227"
"astroid/tests/testdata/python3/data/unicode_package/core/__init__.py","148","2","0.42880250989482227"
"test/data/find_test/__init__.py","198","1","0.42880250989482227"
"astroid/tests/testdata/python3/data/path_pkgutil_3/package/__init__.py","24","3","0.42880250989482227"
"astroid/tests/testdata/python2/data/tmp__init__.py","3","0","0.42880250989482227"
"astroid/tests/testdata/python3/data/unicode_package/__init__.py","148","2","0.42880250989482227"
"rebuilder.py","212","4","0.42880250989482227"
"astroid/tests/testdata/python3/data/absimport.py","148","2","0.42880250989482227"
"astroid/tests/testdata/python3/data/lmfp/__init__.py","148","2","0.42880250989482227"
"test/test_encoding.py","2","4","0.42880250989482227"
"astroid/transforms.py","73","0","0.42880250989482227"
"test/data/module2.py","211","4","0.42880250989482227"
"astroid/brain/_nose.py","30","0","0.42880250989482227"
"test/data/appl/myconnection.py","209","4","0.42880250989482227"
"test/data/module1abs/__init__.py","198","1","0.42880250989482227"
"astroid/context.py","75","0","0.42880250989482227"
"test_utils.py","198","1","0.42880250989482227"
"test/regrtest_data/package/subpackage/module.py","209","4","0.42880250989482227"
"test/data/email.py","198","1","0.42880250989482227"
"test/regrtest_data/descriptor_crash.py","209","4","0.42880250989482227"
"astroid/tests/data_py3/nonregr.py","275","2","0.42880250989482227"
"test/data_py3/module2.py","198","1","0.42880250989482227"
"test/regrtest.py","61","4","0.42880250989482227"
"astroid/tests/data_py3/__init__.py","275","2","0.42880250989482227"
"astroid/astpeephole.py","74","0","0.42880250989482227"
"test/data/all.py","209","4","0.42880250989482227"
"astroid/interpreter/_import/util.py","21","0","0.42880250989482227"
"test/unittest_lookup.py","211","4","0.42880250989482227"
"test/__init__.py","59","4","0.42880250989482227"
"astroid/tests/testdata/python2/data/package/absimport.py","148","2","0.42880250989482227"
"astroid/brain/brain_qt.py","77","0","0.42880250989482227"
"astroid/helpers.py","76","0","0.42880250989482227"
"astroid/brain/_stdlib.py","30","0","0.42880250989482227"
"scoped_nodes.py","214","4","0.42880250989482227"
"test/data2/suppliermodule_test.py","209","4","0.42880250989482227"
"astroid/tests/testdata/python3/data/lmfp/foo.py","148","2","0.42880250989482227"
"astroid/bases.py","244","0","0.42880250989482227"
