,rectype,issueid,project_owner,project_name,actor,time,text,action,title
0,issue_title,107,idan,oauthlib,ondrowan,2013-02-13 16:39:26,"Shouldn't [`verify_request_token_request`](https://github.com/idan/oauthlib/blob/master/oauthlib/oauth1/rfc5849/__init__.py#L670) call `verify_request` with `require_callback=True` as per RFC section 2.1?
",start issue,OAuth1 server never requires callback
1,issue_closed,107,idan,oauthlib,ondrowan,2013-02-14 23:26:48,,closed issue,OAuth1 server never requires callback
2,issue_comment,107,idan,oauthlib,ib-lundgren,2013-02-13 20:39:11,"It certainly should. Fancy sending a PR? The doc string for validate_redirect_uri should also mentioned the use of the special ""oob"" value.
",,
3,issue_comment,107,idan,oauthlib,ondrowan,2013-02-13 22:18:31,"Yeah, I can do it tomorrow
",,
0,issue_title,114,idan,oauthlib,ib-lundgren,2013-02-14 21:24:03,"The check for authenticated clients in oauth 2 server authorization code grant is weak and can be circumvented with a post request containing the field ""client"". At least require the request.client object to have an attribute (say request.client.client_id) and document this requirement appropriately. 

https://github.com/idan/oauthlib/blob/master/oauthlib/oauth2/draft25/grant_types.py#L521
",start issue,Improve authenticated client check in 
1,issue_closed,114,idan,oauthlib,ib-lundgren,2013-02-20 22:45:49,,closed issue,Improve authenticated client check in 
0,issue_title,115,idan,oauthlib,ondrowan,2013-02-14 23:25:40,"- simplified tox config
- added python 3 to travis config

This should close #76. I have no idea how to test it, but it should work (I'm testing one python app against 3.3 using travis - with tox though).
",start issue,Changes to testing stuff
1,issue_closed,115,idan,oauthlib,ib-lundgren,2013-02-18 18:21:12,,closed issue,Changes to testing stuff
2,pull_request_title,115,idan,oauthlib,ondrowan,2013-02-14 23:25:40,"- simplified tox config
- added python 3 to travis config

This should close #76. I have no idea how to test it, but it should work (I'm testing one python app against 3.3 using travis - with tox though).
",2f0871bcc53ba9875c415eddc3b7f1878d2e8806,Changes to testing stuff
3,pull_request_merged,115,idan,oauthlib,ib-lundgren,2013-02-18 18:21:12,Changes to testing stuff,3582dc95854d35b9730f4a5ca0ed4aa0269a3995,Pull request merge from ondrowan/oauthlib:testing_stuff to idan/oauthlib:master
4,issue_comment,115,idan,oauthlib,ib-lundgren,2013-02-18 18:20:15,"Much cleaner, thanks! We will see with travis, if it starts complaining it's a quick fix to rollback.
",,
5,issue_comment,115,idan,oauthlib,ib-lundgren,2013-02-18 18:35:35,"Travis fail to install unittest2 under Python 3. Need to find a way to exclude unittest2 from installing.
",,
6,pull_request_commit,115,idan,oauthlib,ondrowan,2013-02-14 23:19:44,"Changes to testing stuff
* simplified tox config
* added python 3 to travis config",2f0871bcc53ba9875c415eddc3b7f1878d2e8806,
0,issue_title,113,idan,oauthlib,ondrowan,2013-02-14 14:23:01,"in `server2.rst`. Additionally, added sphinx to requirements.
",start issue,Removed misplaced -*- coding: utf8 -*- string
1,issue_closed,113,idan,oauthlib,ib-lundgren,2013-02-14 21:16:22,,closed issue,Removed misplaced -*- coding: utf8 -*- string
2,pull_request_title,113,idan,oauthlib,ondrowan,2013-02-14 14:23:01,"in `server2.rst`. Additionally, added sphinx to requirements.
",e3b93c2d71cca7926ebe93071ef91d03109ee07c,Removed misplaced -*- coding: utf8 -*- string
3,pull_request_merged,113,idan,oauthlib,ib-lundgren,2013-02-14 21:16:22,Removed misplaced -*- coding: utf8 -*- string,bf78e707a7a84d77f0b1c0c6389b1d9af80a10b3,Pull request merge from ondrowan/oauthlib:docs_header_fix to idan/oauthlib:master
4,issue_comment,113,idan,oauthlib,ib-lundgren,2013-02-14 21:16:16,"Cheers!
",,
5,pull_request_commit,113,idan,oauthlib,ondrowan,2013-02-14 14:18:53,Added sphinx to requirements,eda02121dbf4c4b3affdf355523df7b596484dff,
6,pull_request_commit,113,idan,oauthlib,ondrowan,2013-02-14 14:20:34,Fixed misplaced coding string in docs,e3b93c2d71cca7926ebe93071ef91d03109ee07c,
0,issue_title,108,idan,oauthlib,ondrowan,2013-02-13 16:44:13,,start issue,Fixed wrong function reference in OAuth server docs
1,issue_closed,108,idan,oauthlib,ib-lundgren,2013-02-13 20:40:03,,closed issue,Fixed wrong function reference in OAuth server docs
2,pull_request_title,108,idan,oauthlib,ondrowan,2013-02-13 16:44:13,,7c5b0ba793d7d524fe3b1a84f905ab4d317ccf09,Fixed wrong function reference in OAuth server docs
3,pull_request_merged,108,idan,oauthlib,ib-lundgren,2013-02-13 20:40:03,Fixed wrong function reference in OAuth server docs,d28924125231b03217c5310fb0a23f03f0aba1f6,Pull request merge from ondrowan/oauthlib:patch-2 to idan/oauthlib:master
4,issue_comment,108,idan,oauthlib,ib-lundgren,2013-02-13 20:40:00,"LGTM
",,
5,pull_request_commit,108,idan,oauthlib,ondrowan,2013-02-13 16:43:59,Fixed wrong function reference in OAuth server docs,7c5b0ba793d7d524fe3b1a84f905ab4d317ccf09,
0,issue_title,112,idan,oauthlib,ondrowan,2013-02-14 14:05:15,"- it now calls verify_request with require_callback=True
- added docstring about oob callback
- added test demonstrating use case

Should fix #107.

Also, I noticed tests for (invalid) callback request are sending also secrets. Is there any point to do so?
",start issue,Fixed verify_request_token_request in OAuth1 server
1,issue_closed,112,idan,oauthlib,ib-lundgren,2013-02-14 22:44:51,,closed issue,Fixed verify_request_token_request in OAuth1 server
2,pull_request_title,112,idan,oauthlib,ondrowan,2013-02-14 14:05:15,"- it now calls verify_request with require_callback=True
- added docstring about oob callback
- added test demonstrating use case

Should fix #107.

Also, I noticed tests for (invalid) callback request are sending also secrets. Is there any point to do so?
",0215a772a8d725244a2cf09b49b237eb3fc418da,Fixed verify_request_token_request in OAuth1 server
3,pull_request_merged,112,idan,oauthlib,ib-lundgren,2013-02-14 22:44:51,Fixed verify_request_token_request in OAuth1 server,bf360147ec7bb68e9fd9ae56e3bb30a15fa83105,Pull request merge from ondrowan/oauthlib:oauth1_server_callback_fix to idan/oauthlib:master
4,issue_comment,112,idan,oauthlib,ib-lundgren,2013-02-14 21:15:58,"Looks good, just a nit pick comment. Also, feel free to add yourself to the AUTHORS while you are at it.

If you are interested in digging deeper I'd be happy to help out getting you started. For example with #95.
",,
5,issue_comment,112,idan,oauthlib,ondrowan,2013-02-14 22:37:39,"Fixed 'n squashed.

I'll try to look at that issue later.
",,
