,rectype,issueid,project_owner,project_name,actor,time,text,action,title
0,issue_title,21,aio-libs,aioredis,jettify,2014-07-03 20:55:14,"Another pack of commands
",start issue,hash commands
1,issue_closed,21,aio-libs,aioredis,popravich,2014-07-04 06:24:08,,closed issue,hash commands
2,pull_request_title,21,aio-libs,aioredis,jettify,2014-07-03 20:55:14,"Another pack of commands
",ef8fce70137aa6a429bb5119ffa91b93cdb8f473,hash commands
3,pull_request_merged,21,aio-libs,aioredis,popravich,2014-07-04 06:24:08,hash commands,b8bded108cfaa60b334e20536474a52d87edcadf,Pull request merge from jettify/aioredis:feature-hash to aio-libs/aioredis:master
4,issue_comment,21,aio-libs,aioredis,popravich,2014-07-04 06:24:15,"Thanks
",,
5,pull_request_commit,21,aio-libs,aioredis,jettify,2014-07-03 20:40:00,hash commands,ef8fce70137aa6a429bb5119ffa91b93cdb8f473,
0,issue_title,22,aio-libs,aioredis,popravich,2014-07-04 06:25:05,"Implementation status:
- [x] connection commands http://redis.io/commands/#connection
- [x] generic commands http://redis.io/commands/#generic
- [x] string commands http://redis.io/commands/#string
- [x] hash commands http://redis.io/commands/#hash
- [x] list commands http://redis.io/commands/#list
- [x] set commands http://redis.io/commands/#set
- [x] sorted set commands http://redis.io/commands/#sorted_set
- [x] hyperloglog commands http://redis.io/commands/#hyperloglog
- [x] transactions commands http://redis.io/commands/#transactions
- [x] scripting commands http://redis.io/commands/#scripting
- [x] server commands http://redis.io/commands/#server (except `client kill` & `monitor`)
- [x] pub/sub commands http://redis.io/commands/#pubsub
",start issue,Commands Mixins Implementation status
1,issue_closed,22,aio-libs,aioredis,popravich,2017-01-17 09:57:36,,closed issue,Commands Mixins Implementation status
0,issue_title,23,aio-libs,aioredis,popravich,2014-07-04 07:38:20,"WIP on transactions
",start issue,Transactions
1,issue_closed,23,aio-libs,aioredis,popravich,2014-07-04 07:41:47,,closed issue,Transactions
2,pull_request_title,23,aio-libs,aioredis,popravich,2014-07-04 07:38:20,"WIP on transactions
",dade0b7e44666b5c10df631f0196bf01d37b3667,Transactions
3,pull_request_merged,23,aio-libs,aioredis,popravich,2014-07-04 07:41:47,Transactions,None,Pull request merge from aio-libs/aioredis:transactions to aio-libs/aioredis:master
4,pull_request_commit,23,aio-libs,aioredis,popravich,2014-07-03 14:27:30,basic transactions implementation,ba6ea7737cc7886d88b9bc3d47c38ddb1b76931d,
5,pull_request_commit,23,aio-libs,aioredis,popravich,2014-07-03 15:06:33,few notes added,dade0b7e44666b5c10df631f0196bf01d37b3667,
