project,burst_id,burst,num_days,num_tt_segments
nilearn~nilearn,77,2016/04/12-2016/04/19,8,1
nilearn~nilearn,78,2016/04/25-2016/04/27,3,1
nilearn~nilearn,79,2016/05/09-2016/05/09,1,1
nilearn~nilearn,80,2016/05/19-2016/05/27,9,2
nilearn~nilearn,81,2016/06/07-2016/06/16,10,2
nilearn~nilearn,82,2016/06/20-2016/06/24,5,2
nilearn~nilearn,83,2016/06/28-2016/07/21,24,5
nilearn~nilearn,84,2016/07/27-2016/07/28,2,1
nilearn~nilearn,85,2016/08/02-2016/08/19,18,3
nilearn~nilearn,86,2016/08/25-2016/08/26,2,1
nilearn~nilearn,87,2016/08/30-2016/09/01,3,1
nilearn~nilearn,88,2016/09/06-2016/09/08,3,1
nilearn~nilearn,89,2016/09/12-2016/10/07,26,8
nilearn~nilearn,90,2016/10/17-2016/10/20,4,1
nilearn~nilearn,91,2016/10/24-2016/10/26,3,2
nilearn~nilearn,92,2016/10/31-2016/11/04,5,2
nilearn~nilearn,93,2016/11/14-2016/11/14,1,1
nilearn~nilearn,94,2016/11/21-2016/11/24,4,1
nilearn~nilearn,95,2016/12/04-2016/12/11,8,2
nilearn~nilearn,96,2016/12/17-2016/12/22,6,2
nilearn~nilearn,97,2017/01/05-2017/01/05,1,1
nilearn~nilearn,98,2017/01/09-2017/01/13,5,1
nilearn~nilearn,99,2017/01/19-2017/01/27,9,2
nilearn~nilearn,100,2017/02/02-2017/02/03,2,1
nilearn~nilearn,101,2017/02/08-2017/02/08,1,1
nilearn~nilearn,102,2017/02/14-2017/03/07,22,7
nilearn~nilearn,103,2017/03/13-2017/03/16,4,1
nilearn~nilearn,104,2017/03/21-2017/03/24,4,1
nilearn~nilearn,105,2017/03/28-2017/03/28,1,1
nilearn~nilearn,106,2017/04/03-2017/04/11,9,2
nilearn~nilearn,107,2017/04/24-2017/04/25,2,1
nilearn~nilearn,108,2017/05/06-2017/05/06,1,1
nilearn~nilearn,109,2017/05/23-2017/05/23,1,1
nilearn~nilearn,110,2017/05/29-2017/05/30,2,1
nilearn~nilearn,111,2017/06/12-2017/06/15,4,2
nilearn~nilearn,112,2017/06/19-2017/06/26,8,2
nilearn~nilearn,113,2017/07/11-2017/07/11,1,1
nilearn~nilearn,114,2017/07/26-2017/07/30,5,1
nilearn~nilearn,115,2017/08/18-2017/08/24,7,2
nilearn~nilearn,116,2017/09/04-2017/09/04,1,1
nilearn~nilearn,117,2017/09/19-2017/09/19,1,1
nilearn~nilearn,118,2017/09/28-2017/09/30,3,2
nilearn~nilearn,119,2017/10/13-2017/10/13,1,1
nilearn~nilearn,120,2017/10/18-2017/10/18,1,1
nilearn~nilearn,121,2017/10/30-2017/11/06,8,3
nilearn~nilearn,122,2017/11/10-2017/11/23,14,3
nilearn~nilearn,123,2017/11/30-2017/12/01,2,1
