"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","726","nilearn","nilearn","AlexandreAbraham","2015-07-28 22:16:15","Changes the name of `return_raw_data` by something like `preprocessed_data`.
","start issue","SpaceNet: fetch_mixed_gambles"
"issue_closed","726","nilearn","nilearn","AlexandreAbraham","2015-07-29 11:45:32","","closed issue","SpaceNet: fetch_mixed_gambles"
"issue_comment","726","nilearn","nilearn","AlexandreAbraham","2015-07-29 11:45:32","No strong feeling either, I was just stating the issue here. Closing.
","",""
