"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","1113","nilearn","nilearn","AlexandreAbraham","2016-06-08 08:23:50","Fix #1048 
","start issue","[MRG +1] Add globbing to concat_niimgs"
"issue_closed","1113","nilearn","nilearn","aabadie","2016-06-08 10:43:34","","closed issue","[MRG +1] Add globbing to concat_niimgs"
"pull_request_title","1113","nilearn","nilearn","AlexandreAbraham","2016-06-08 08:23:50","Fix #1048 
","38c8f2cb7726508b5eb7eff2516dff7a2afad134","[MRG +1] Add globbing to concat_niimgs"
"pull_request_merged","1113","nilearn","nilearn","aabadie","2016-06-08 10:43:34","[MRG +1] Add globbing to concat_niimgs","82e3223dc634662bfecaf0c30575d0651a3eb408","Pull request merge from AlexandreAbraham/nilearn:globbing to nilearn/nilearn:master"
"issue_comment","1113","nilearn","nilearn","aabadie","2016-06-08 09:16:53","LGTM +1.

Side comment: Maybe one could also mention it in [the online documentation](http://nilearn.github.io/manipulating_images/manipulating_images.html#loading-your-own-data-filenames-or-nibabel-objects).
","",""
"issue_comment","1113","nilearn","nilearn","aabadie","2016-06-08 10:43:19","All CI are green. 
Merging, thanks !
","",""
"pull_request_commit","1113","nilearn","nilearn","AlexandreAbraham","2016-06-08 08:22:46","Add globbing to concat_niimgs","38c8f2cb7726508b5eb7eff2516dff7a2afad134",""
