"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","365","idan","oauthlib","Gr1N","2015-07-23 08:46:35","Hi! 

I'm getting attribute error when trying to revoke `access_token` without `token_type_hint` parameter.
I think that the problem is the same as in the issue #364. Breaking commit: https://github.com/idan/oauthlib/commit/539558a02edbadb8d6ef690fb0beb2510a5eeb17.

And here a part of stack trace:

```
  File ""./venv/lib/python2.7/site-packages/oauthlib/oauth2/rfc6749/endpoints/base.py"", line 64, in wrapper
    return f(endpoint, uri, *args, **kwargs)
  File ""./venv/lib/python2.7/site-packages/oauthlib/oauth2/rfc6749/endpoints/revocation.py"", line 65, in create_revocation_response
    self.validate_revocation_request(request)
  File ""./venv/lib/python2.7/site-packages/oauthlib/oauth2/rfc6749/endpoints/revocation.py"", line 127, in validate_revocation_request
    if (request.token_type_hint and
  File ""./venv/lib/python2.7/site-packages/oauthlib/common.py"", line 409, in __getattr__
    raise AttributeError(name)
AttributeError: token_type_hint
```
","start issue","Getting AttributeError: token_type_hint"
"issue_closed","365","idan","oauthlib","masci","2015-07-23 14:53:41","","closed issue","Getting AttributeError: token_type_hint"
"issue_comment","365","idan","oauthlib","masci","2015-07-23 14:04:36","Yep, it's the same problem, a fix is already in place waiting for review in #362 
","",""
"issue_comment","365","idan","oauthlib","Gr1N","2015-07-23 14:13:58","Nice!
","",""
"issue_comment","365","idan","oauthlib","masci","2015-07-23 14:53:41","Fixed in #362
","",""
