"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","1231","nilearn","nilearn","GaelVaroquaux","2016-08-09 05:44:03","I was teaching today, and it stroke me that ConnectivityMeasure computes connectomes, and the name doesn't express this well. The ""Measure"" name doesn't capture the fact that it gives matrices, it feels more like a bivariate measure.

Not sure of a name? ConnectomeBuilder? ConnectomeEstimator?

Suggestions? Comments? Discussion?
","start issue","Rename ConnectivityMeasure"
"issue_comment","1231","nilearn","nilearn","GaelVaroquaux","2016-08-09 07:27:53","Also came to my mind: ""Connectomer"" ""ConnectomeGrapher""
","",""
"issue_comment","1231","nilearn","nilearn","salma1601","2016-08-09 11:19:30","+1 for `ConnectomeEstimator`
","",""
"issue_comment","1231","nilearn","nilearn","salma1601","2016-08-09 13:34:27","may be also something stressing the fact that it is designed for a group of subject, that's why it fits a list.
`GroupConnectomeEstimator` ? but too long
Connectome**s**Estimator ?
","",""
