"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","418","idan","oauthlib","papachoco","2016-04-28 16:04:38","Currently in pypi the latest version of the library is oauthlib 1.1.0.post1.. could we make an sdist oauthlib-1.1.0.post1.tar.gz also available so legacy installations can find the correct egg

Thanks 

Carlos
ps. the egg listed in pypi is oauthlib-1.1.0-1.tar.gz
","start issue","oauthlib 1.1.0.post1 "
"issue_closed","418","idan","oauthlib","thedrow","2016-11-13 14:17:19","","closed issue","oauthlib 1.1.0.post1 "
"issue_comment","418","idan","oauthlib","jsingle","2016-04-28 19:42:24","+1, the inconsistency here is causing issues for me as well
","",""
"issue_comment","418","idan","oauthlib","thedrow","2016-05-08 12:48:25","Could you please install 1.1.1 instead?
","",""
