"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","201","aio-libs","aioredis","marijngiesen","2017-03-03 00:37:18","Added the `ZREVRANGEBYLEX` command and tests. Closes #200.","start issue","Added ZREVRANGEBYLEX command"
"issue_closed","201","aio-libs","aioredis","popravich","2017-03-03 09:35:04","","closed issue","Added ZREVRANGEBYLEX command"
"pull_request_title","201","aio-libs","aioredis","marijngiesen","2017-03-03 00:37:18","Added the `ZREVRANGEBYLEX` command and tests. Closes #200.","431146ef28542a8b204614682feecbaca3718142","Added ZREVRANGEBYLEX command"
"pull_request_merged","201","aio-libs","aioredis","popravich","2017-03-03 09:35:04","Added ZREVRANGEBYLEX command","2653a2d53c3e67b185ffff8ec8c1238ba4426802","Pull request merge from Unknown:zrevrangebylex to aio-libs/aioredis:master"
"issue_comment","201","aio-libs","aioredis","popravich","2017-03-03 09:05:08","Good catch, thanks.
Please fix flake8 errors (run `make flake` to see the list)","",""
"issue_comment","201","aio-libs","aioredis","codecov-io","2017-03-03 09:23:30","# [Codecov](https://codecov.io/gh/aio-libs/aioredis/pull/201?src=pr&el=h1) Report
> Merging [#201](https://codecov.io/gh/aio-libs/aioredis/pull/201?src=pr&el=desc) into [master](https://codecov.io/gh/aio-libs/aioredis/commit/bc44c9ab853283c4ce936faa3eac1055f1a75649?src=pr&el=desc) will **decrease** coverage by `-0.1%`.
> The diff coverage is `98.33%`.


```diff
@@            Coverage Diff            @@
##           master     #201     +/-   ##
=========================================
- Coverage   95.42%   95.33%   -0.1%     
=========================================
  Files          55       55             
  Lines        7173     7227     +54     
  Branches      584      592      +8     
=========================================
+ Hits         6845     6890     +45     
- Misses        239      244      +5     
- Partials       89       93      +4
```


| [Impacted Files](https://codecov.io/gh/aio-libs/aioredis/pull/201?src=pr&el=tree) | Coverage Δ | |
|---|---|---|
| [aioredis/commands/sorted_set.py](https://codecov.io/gh/aio-libs/aioredis/compare/bc44c9ab853283c4ce936faa3eac1055f1a75649...431146ef28542a8b204614682feecbaca3718142?src=pr&el=tree#diff-YWlvcmVkaXMvY29tbWFuZHMvc29ydGVkX3NldC5weQ==) | `100% <100%> (ø)` | :white_check_mark: |
| [tests/sorted_set_commands_test.py](https://codecov.io/gh/aio-libs/aioredis/compare/bc44c9ab853283c4ce936faa3eac1055f1a75649...431146ef28542a8b204614682feecbaca3718142?src=pr&el=tree#diff-dGVzdHMvc29ydGVkX3NldF9jb21tYW5kc190ZXN0LnB5) | `99.58% <97.5%> (+0.03%)` | :white_check_mark: |
| [aioredis/commands/transaction.py](https://codecov.io/gh/aio-libs/aioredis/compare/bc44c9ab853283c4ce936faa3eac1055f1a75649...431146ef28542a8b204614682feecbaca3718142?src=pr&el=tree#diff-YWlvcmVkaXMvY29tbWFuZHMvdHJhbnNhY3Rpb24ucHk=) | `82.63% <0%> (-2.09%)` | :x: |
| [aioredis/pubsub.py](https://codecov.io/gh/aio-libs/aioredis/compare/bc44c9ab853283c4ce936faa3eac1055f1a75649...431146ef28542a8b204614682feecbaca3718142?src=pr&el=tree#diff-YWlvcmVkaXMvcHVic3ViLnB5) | `93.12% <0%> (-1.06%)` | :x: |
| [tests/conftest.py](https://codecov.io/gh/aio-libs/aioredis/compare/bc44c9ab853283c4ce936faa3eac1055f1a75649...431146ef28542a8b204614682feecbaca3718142?src=pr&el=tree#diff-dGVzdHMvY29uZnRlc3QucHk=) | `86.96% <0%> (-1.01%)` | :x: |
| [aioredis/sentinel/pool.py](https://codecov.io/gh/aio-libs/aioredis/compare/bc44c9ab853283c4ce936faa3eac1055f1a75649...431146ef28542a8b204614682feecbaca3718142?src=pr&el=tree#diff-YWlvcmVkaXMvc2VudGluZWwvcG9vbC5weQ==) | `79.37% <0%> (-0.78%)` | :x: |
| [aioredis/commands/server.py](https://codecov.io/gh/aio-libs/aioredis/compare/bc44c9ab853283c4ce936faa3eac1055f1a75649...431146ef28542a8b204614682feecbaca3718142?src=pr&el=tree#diff-YWlvcmVkaXMvY29tbWFuZHMvc2VydmVyLnB5) | `76.59% <0%> (+1.41%)` | :white_check_mark: |

------

[Continue to review full report at Codecov](https://codecov.io/gh/aio-libs/aioredis/pull/201?src=pr&el=continue).
> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)
> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`
> Powered by [Codecov](https://codecov.io/gh/aio-libs/aioredis/pull/201?src=pr&el=footer). Last update [bc44c9a...431146e](https://codecov.io/gh/aio-libs/aioredis/compare/bc44c9ab853283c4ce936faa3eac1055f1a75649...431146ef28542a8b204614682feecbaca3718142?el=footer&src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).","",""
"issue_comment","201","aio-libs","aioredis","marijngiesen","2017-03-03 09:24:00","The flake8 errors have been fixed","",""
"issue_comment","201","aio-libs","aioredis","popravich","2017-03-03 09:35:08","Thanks","",""
"pull_request_commit","201","aio-libs","aioredis","marijngiesen","2017-03-03 00:36:37","Added ZREVRANGEBYLEX command","eb3627bc99306d74aeab181859743b6dc6fe3633",""
"pull_request_commit","201","aio-libs","aioredis","marijngiesen","2017-03-03 00:38:42","Fixed typo","9b138b9788c9f1d2875da5ed5318061b3faa49fe",""
"pull_request_commit","201","aio-libs","aioredis","marijngiesen","2017-03-03 09:25:20","Fixed flake8 errors","431146ef28542a8b204614682feecbaca3718142",""
