"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","1109","nilearn","nilearn","AlexandreAbraham","2016-06-07 15:06:49","All is in the title!
","start issue","Use new glass brain hemisphere visualization with two hemispheres wherever it is possible."
"issue_closed","1109","nilearn","nilearn","AlexandreAbraham","2016-09-15 11:17:52","","closed issue","Use new glass brain hemisphere visualization with two hemispheres wherever it is possible."
"issue_comment","1109","nilearn","nilearn","mrahim","2016-06-09 08:14:48","You mean in the examples ?
","",""
