"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","213","nilearn","nilearn","GaelVaroquaux","2014-06-17 11:26:49","The module is currently a mess, because it has some bounds-computing code, that is somewhat weakly-related to resampling. This should probably be spawned to another file.
","start issue","Reorganize nilearn.image.resampling"
"issue_comment","213","nilearn","nilearn","lesteve","2015-12-03 14:47:53","Bumping this one up to 0.2.1.
","",""
"issue_comment","213","nilearn","nilearn","AlexandreAbraham","2016-02-18 11:03:11","Moving to 0.2.4 since a refactoring is a major change.
","",""
"issue_comment","213","nilearn","nilearn","banilo","2016-01-12 22:48:12","There appear to be no volunteers for this one. Would not @eickenberg be the perfect candidate, since he wrote big parts of the original implementation, if I remember correctly.
","",""
