"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","364","pycqa","astroid","jgarst","2016-09-27 23:30:54","Fixed one regression (inferred._proxied is uninferrable), and added two new ast nodes for python 3.6.
","start issue","Updates for python 3.6"
"issue_closed","364","pycqa","astroid","jgarst","2016-10-02 14:34:27","","closed issue","Updates for python 3.6"
"pull_request_title","364","pycqa","astroid","jgarst","2016-09-27 23:30:54","Fixed one regression (inferred._proxied is uninferrable), and added two new ast nodes for python 3.6.
","9979615030d97cbe26bb64e005f7dd83012f013d","Updates for python 3.6"
"issue_comment","364","pycqa","astroid","jgarst","2016-09-27 23:48:59","Apologies for pushing bad code. I'm getting different test results on my local machine - I'll get things consistent sometime this week and resubmit. 
","",""
"issue_comment","364","pycqa","astroid","PCManticore","2016-09-28 09:05:19","Thanks for the PR! I left a comment, please check it. I would like to have that change separately, including a test for reproduction. As mentioned, it might have a different fix, depending on the nature of the bug. Without it, it looks fine.
","",""
"pull_request_commit_comment","364","pycqa","astroid","PCManticore","2016-09-28 09:04:10","I would like to see a test first with this problem, maybe it will have another fix than ignoring the node.
","9979615030d97cbe26bb64e005f7dd83012f013d","(None, '', u'astroid/builder.py')"
