"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","45","aio-libs","aioredis","popravich","2014-08-12 19:56:10","","start issue","New multi exec"
"issue_closed","45","aio-libs","aioredis","popravich","2014-08-13 07:54:35","","closed issue","New multi exec"
"pull_request_title","45","aio-libs","aioredis","popravich","2014-08-12 19:56:10","","5b03da82cf081069534df0b00eaf19b0f57dc80f","New multi exec"
"pull_request_merged","45","aio-libs","aioredis","popravich","2014-08-13 07:54:35","New multi exec","f25c7e57adbb7311cf676cd7190550fedd93162b","Pull request merge from aio-libs/aioredis:new_multi_exec to aio-libs/aioredis:master"
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-11 07:23:15","WIP on robust multi_exec","66518744eb0d9d37ead54a7d3a979282992e5f68",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-11 09:37:37","new working multi_exec","ff3b07614543b9948f9769296120e3237f17ce5d",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-11 12:09:39","multi_exec tests updated","01e6f4b2fa141881a1017e12ab64bfc56159928b",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-11 12:17:44","transactions example fixed","be6980bc405c8af1a8ec4e4ac8c08b6f83906f94",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-11 15:05:13","multi_exec tests","806b6eb703e4f4484dfd8355351995dfe02fead8",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-11 15:05:46","few notes in docs","5ded6c0ddcb02cf674275ce0be85841e93cfcaf2",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-11 19:21:35","more progress on multi_exec","4108587eb09980b22cdf676f4f17b7a9a66e9913",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-12 15:05:11","Pipeline wrapper added for convenience","91afd402b05571bcc0dc28bf7ceac6a1c78e282d",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-12 19:47:26","small code cleanup","d5baa8c4a40b09dfd677b04ebf561c38259c4cb8",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-13 07:26:41","few more bits of cleanup","515187105f682a322f219aef3ca00a6a7351fc98",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-13 07:27:38","docs updated","30b68b8909c3c6aeae2142bd8be7c69fd91e1821",""
"pull_request_commit","45","aio-libs","aioredis","popravich","2014-08-13 07:54:01","small updates","5b03da82cf081069534df0b00eaf19b0f57dc80f",""
