"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","581","nilearn","nilearn","KamalakerDadi","2015-05-11 12:21:05","Added words suggesting nilearn users to install 64 bit Anaconda installation. Please suggest/comment if any additional sentences need to be added to warn users who are using 32 bit.
","start issue","Addressing the simple documentation issue suggesting a 64 bit installation"
"issue_closed","581","nilearn","nilearn","GaelVaroquaux","2015-05-11 12:52:56","","closed issue","Addressing the simple documentation issue suggesting a 64 bit installation"
"pull_request_title","581","nilearn","nilearn","KamalakerDadi","2015-05-11 12:21:05","Added words suggesting nilearn users to install 64 bit Anaconda installation. Please suggest/comment if any additional sentences need to be added to warn users who are using 32 bit.
","ec18108b8811e18f127ca11087533e12ffcd16a9","Addressing the simple documentation issue suggesting a 64 bit installation"
"pull_request_merged","581","nilearn","nilearn","GaelVaroquaux","2015-05-11 12:52:56","Addressing the simple documentation issue suggesting a 64 bit installation","12b150d96cd4fdc315cf0d4af1cd6810aaa0157b","Pull request merge from KamalakerDadi/nilearn:fix_480 to nilearn/nilearn:master"
"issue_comment","581","nilearn","nilearn","KamalakerDadi","2015-05-11 12:22:14","Issue #480 
","",""
"issue_comment","581","nilearn","nilearn","eickenberg","2015-05-11 12:31:05","`+np.exp(2*np.pi*1j)`
","",""
"issue_comment","581","nilearn","nilearn","GaelVaroquaux","2015-05-11 12:52:53","LGTM. Merging. Thank you
","",""
"pull_request_commit","581","nilearn","nilearn","KamalakerDadi","2015-05-11 12:14:26","Addressing the simple documentation issue suggesting a 64 bit installation","ec18108b8811e18f127ca11087533e12ffcd16a9",""
