"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","488","nilearn","nilearn","banilo","2015-03-05 15:39:47","Is this what we want?
","start issue","Provide dataset descriptions"
"issue_closed","488","nilearn","nilearn","AlexandreAbraham","2015-03-09 13:35:07","","closed issue","Provide dataset descriptions"
"pull_request_title","488","nilearn","nilearn","banilo","2015-03-05 15:39:47","Is this what we want?
","63da8e841ae2f7c4666af18374fcf01b1bdc4192","Provide dataset descriptions"
"pull_request_merged","488","nilearn","nilearn","AlexandreAbraham","2015-03-09 13:35:07","Provide dataset descriptions","040c5a7c1eae6ccfe60702641941321e445aa2ae","Pull request merge from banilo/nilearn:data_descr to nilearn/nilearn:master"
"issue_comment","488","nilearn","nilearn","AlexandreAbraham","2015-03-09 13:28:38","Yeah, that seems great! Do you want to work on it for other datasets or should we merge it?
","",""
"issue_comment","488","nilearn","nilearn","banilo","2015-03-09 13:29:52","> Do you want to work on it for other datasets or should we merge it?

Ok, good to know, thx. Please mrg this one already. I will do the rest en bloque.
","",""
"issue_comment","488","nilearn","nilearn","GaelVaroquaux","2015-03-09 13:39:43","Thanks. This is super useful!
","",""
"pull_request_commit","488","nilearn","nilearn","banilo","2015-03-05 15:38:58","dataset descriptions1","63da8e841ae2f7c4666af18374fcf01b1bdc4192",""
